Case ID,Activity,Start Timestamp,Complete Timestamp
SUB-0001,Submission Received,2026-02-12 09:02:00,2026-02-12 09:02:00
SUB-0001,Formula Check,2026-02-13 09:02:00,2026-02-13 09:27:00
SUB-0001,Visual / Presentation Review,2026-02-13 09:27:00,2026-02-13 09:36:00
SUB-0001,Feedback Approval,2026-02-13 09:36:00,2026-02-13 09:39:00
SUB-0001,Feedback Returned,2026-02-13 09:39:00,2026-02-13 09:39:00
SUB-0002,Submission Received,2026-02-12 09:28:00,2026-02-12 09:28:00
SUB-0002,Formula Check,2026-02-13 09:32:00,2026-02-13 09:50:00
SUB-0002,Visual / Presentation Review,2026-02-13 09:50:00,2026-02-13 09:59:00
SUB-0002,Feedback Approval,2026-02-13 09:59:00,2026-02-13 10:01:00
SUB-0002,Feedback Returned,2026-02-13 10:01:00,2026-02-13 10:01:00
SUB-0003,Submission Received,2026-02-12 09:44:00,2026-02-12 09:44:00
SUB-0003,Formula Check,2026-02-13 10:08:00,2026-02-13 10:35:00
SUB-0003,Visual / Presentation Review,2026-02-13 10:35:00,2026-02-13 10:44:00
SUB-0003,Feedback Approval,2026-02-13 10:44:00,2026-02-13 10:46:00
SUB-0003,Feedback Returned,2026-02-13 10:46:00,2026-02-13 10:46:00
SUB-0004,Submission Received,2026-02-12 10:06:00,2026-02-12 10:06:00
SUB-0004,Formula Check,2026-02-13 10:24:00,2026-02-13 10:55:00
SUB-0004,Visual / Presentation Review,2026-02-13 10:55:00,2026-02-13 11:04:00
SUB-0004,Feedback Approval,2026-02-13 11:04:00,2026-02-13 11:09:00
SUB-0004,Feedback Returned,2026-02-13 11:09:00,2026-02-13 11:09:00
SUB-0005,Submission Received,2026-02-12 10:34:00,2026-02-12 10:34:00
SUB-0005,Formula Check,2026-02-13 11:03:00,2026-02-13 11:18:00
SUB-0005,Visual / Presentation Review,2026-02-13 11:18:00,2026-02-13 11:28:00
SUB-0005,Feedback Approval,2026-02-13 11:28:00,2026-02-13 11:30:00
SUB-0005,Feedback Returned,2026-02-13 11:30:00,2026-02-13 11:30:00
SUB-0006,Submission Received,2026-02-12 10:58:00,2026-02-12 10:58:00
